ENTITY ID | FRIENDLY NAME
vacuum.roborock_q7_max | Unknown
button.roborock_q7_max_sensor_verbrauchsmaterial_zurucksetzen | Sensor-Verbrauchsmaterial zurücksetzen
button.roborock_q7_max_luftfilter_verbrauchsmaterial_zurucksetzen | Luftfilter-Verbrauchsmaterial zurücksetzen
button.roborock_q7_max_seitenbursten_verbrauchsmaterial_zurucksetzen | Seitenbürsten-Verbrauchsmaterial zurücksetzen
button.roborock_q7_max_hauptbursten_verbrauchsmaterial_zurucksetzen | Hauptbürsten-Verbrauchsmaterial zurücksetzen
number.roborock_q7_max_lautstarke | Lautstärke
switch.roborock_q7_max_dock_kindersicherung | Kindersicherung
switch.roborock_q7_max_bitte_nicht_storen | Bitte nicht stören
switch.roborock_q7_max_laden_zum_niedertarif | Laden zum Niedertarif
time.roborock_q7_max_bitte_nicht_storen_beginn | Bitte nicht stören Beginn
time.roborock_q7_max_bitte_nicht_storen_ende | Bitte nicht stören Ende
time.roborock_q7_max_niedertarif_start | Niedertarif Start
time.roborock_q7_max_niedertarif_ende | Niedertarif Ende
binary_sensor.smart_hub_cloud_verbindung | Cloud-Verbindung
binary_sensor.smart_hub_uberhitzt | Überhitzt
binary_sensor.thermostat_bad_batteriestand | Batteriestand
binary_sensor.thermostat_bad_cloud_verbindung | Cloud-Verbindung
binary_sensor.thermostat_computer_batteriestand | Batteriestand
binary_sensor.thermostat_computer_cloud_verbindung | Cloud-Verbindung
button.smart_hub_neu_starten | Neu starten
button.smart_hub_neues_gerat_koppeln | Neues Gerät koppeln
button.thermostat_bad_neu_starten | Neu starten
button.thermostat_bad_gerat_entkoppeln | Gerät entkoppeln
button.thermostat_computer_neu_starten | Neu starten
button.thermostat_computer_gerat_entkoppeln | Gerät entkoppeln
climate.thermostat_bad | Unknown
climate.thermostat_computer | Unknown
number.thermostat_bad_temperaturoffset | Temperaturoffset
number.thermostat_computer_temperaturoffset | Temperaturoffset
select.smart_hub_alarmton | Alarmton
select.smart_hub_alarmlautstarke | Alarmlautstärke
sensor.smart_hub_signalpegel | Signalpegel
sensor.smart_hub_signalstarke | Signalstärke
sensor.smart_hub_ssid | SSID
sensor.smart_hub_gerateuhrzeit | Geräteuhrzeit
sensor.smart_hub_alarmquelle | Alarmquelle
sensor.thermostat_bad_signalpegel | Signalpegel
sensor.thermostat_bad_signalstarke | Signalstärke
sensor.thermostat_bad_batterie | Batterie
sensor.thermostat_computer_signalpegel | Signalpegel
sensor.thermostat_computer_signalstarke | Signalstärke
sensor.thermostat_computer_batterie | Batterie
siren.smart_hub | Unknown
switch.smart_hub_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.smart_hub_led | LED
switch.thermostat_bad_kindersicherung | Kindersicherung
switch.thermostat_computer_kindersicherung | Kindersicherung
